410 nm,435 nm,460 nm,485 nm,510 nm,535 nm,560 nm,585 nm,610 nm,645 nm,680 nm,705 nm,730 nm,760 nm,810 nm,860 nm,900 nm,940 nm
10507.67,6068.32,8480.82,3779.36,3698.69,4328.65,816,787.1,5816.09,474,1304.92,157.97,413.37,313.42,1313.51,2188.46,632.16,306.33
10576.33,6099.29,8539.9,3809.76,3727.85,4368.69,816.49,788.07,5837.93,474.83,1309.92,158.35,414.86,314.96,1318.63,2197.2,636.52,308.26
10543.59,6084.77,8540.82,3797.25,3727.85,4351.13,816,787.59,5826.43,474.41,1307.92,157.97,414.11,314.19,1316.07,2193.92,634.65,307.3
10680.91,6148.65,8637.74,3845.53,3772.35,4419.97,815.03,787.1,5849.42,475.24,1314.93,158.35,415.61,315.72,1323.75,2203.76,640.89,310.19
10619.43,6119.61,8565.74,3815.13,3735.52,4372.21,813.57,785.17,5839.08,474,1309.92,157.97,414.11,314.96,1320.34,2200.48,638.39,309.22
10615.44,6118.64,8550.97,3814.23,3730.15,4371.5,814.54,785.17,5839.08,474,1309.92,157.97,414.86,314.96,1321.19,2202.67,637.77,309.22
10615.44,6117.68,8556.51,3814.23,3732.45,4369.4,814.54,785.66,5840.23,474,1310.93,157.97,414.11,314.96,1321.19,2205.95,638.39,309.22
10549.18,6086.71,8542.66,3799.03,3727.08,4356.05,816,787.1,5818.39,474,1305.92,157.97,413.37,314.19,1312.66,2186.27,634.65,307.3
10507.67,6067.35,8489.13,3782.05,3702.53,4336.38,816.98,788.55,5818.39,474.41,1305.92,158.35,413.37,314.19,1310.96,2185.18,634.65,307.3
10491.7,6058.64,8466.98,3773.11,3688.72,4320.92,818.44,788.55,5820.69,474.41,1306.92,158.35,413.37,314.19,1310.96,2187.37,634.65,307.3
10495.69,6060.57,8459.59,3772.21,3684.88,4317.41,818.44,789.52,5820.69,474.83,1305.92,158.35,413.37,314.19,1310.96,2190.65,634.03,307.3
10487.71,6056.7,8455.9,3773.11,3690.26,4321.63,818.93,790,5825.28,475.24,1306.92,158.35,413.37,314.19,1310.96,2189.55,635.28,308.26
10545.99,6074.12,8488.21,3824.96,3724.78,4398.2,846.21,820.4,5843.68,491.47,1308.92,163.25,415.61,314.19,1313.51,2190.65,661.46,326.56
10531.62,6073.16,8507.59,3801.72,3720.94,4358.16,840.36,810.75,5817.24,488.56,1304.92,161.37,413.37,313.42,1308.4,2185.18,653.98,315
10530.02,6073.16,8492.82,3793.67,3708.67,4344.11,839.39,810.27,5821.84,487.73,1306.92,161.37,414.11,314.19,1311.81,2191.74,653.36,315
10526.03,6069.28,8482.67,3787.41,3707.13,4336.38,839.39,809.78,5821.84,487.73,1307.92,161.37,414.11,314.19,1311.81,2192.83,653.36,315
10509.26,6061.54,8480.82,3789.2,3703.3,4337.78,840.36,811.72,5816.09,487.73,1304.92,161.37,413.37,313.42,1307.54,2185.18,650.86,314.04
10512.46,6064.44,8478.05,3791.88,3707.13,4344.11,840.36,812.2,5812.64,488.56,1304.92,161.74,414.11,313.42,1305.84,2182.99,651.49,315
10510.06,6062.51,8476.21,3790.99,3709.44,4345.51,840.36,812.2,5820.69,488.14,1305.92,161.74,413.37,314.19,1307.54,2185.18,652.73,315
10472.54,6047.02,8478.05,3785.62,3703.3,4347.62,842.31,812.68,5794.25,487.73,1301.91,161.74,411.87,312.66,1301.57,2166.6,647.75,312.11
10450.99,6039.28,8482.67,3776.68,3709.44,4346.92,841.34,811.23,5764.37,486.06,1295.9,161.37,410.38,311.13,1291.34,2152.39,642.14,310.19
10433.42,6032.51,8486.36,3772.21,3707.13,4346.21,842.8,812.2,5756.32,486.06,1292.9,161.37,409.63,311.13,1287.07,2145.83,640.89,309.22
10432.62,6032.51,8489.13,3773.11,3704.83,4347.62,842.31,812.2,5756.32,486.06,1292.9,161.37,409.63,311.13,1287.07,2144.73,640.26,309.22
10434.22,6033.47,8488.21,3772.21,3707.9,4347.62,843.29,812.2,5755.17,486.06,1291.9,161.37,408.88,311.13,1287.07,2144.73,640.89,309.22
10435.02,6032.51,8489.13,3775.79,3707.13,4346.92,842.8,812.2,5747.12,486.06,1291.9,161.37,408.88,310.36,1286.22,2143.64,640.26,309.22
